lemma	pos	semantic_tags
akateemisuus	noun	P1
akatemia	noun	P1
Akava	pnoun	Z3
AKE	abbrev	Z3/M3
Aki	pnoun	Z1m
akileija	noun	L3
akillesjänne	noun	B1
Akira	pnoun	Z1m
Akita	pnoun	Z2
akka	noun	O4.2-/S2.1f
akku	noun	O3
Akkunusjoki	pnoun	Z2
akkusatiivi	noun	Q3
akne	noun	B2-
Akola	pnoun	Z2
Akonjärvi	pnoun	Z2 Z1
akrobaatti	noun	K5.1/S2 X9.1+/S2
akrobaattinen	adj	K5.1 X9.1+
akrobaattisesti	adv	K5.1
akrobaattisuus	noun	K5.1
akrobatia	noun	K5.1 X9.1+
akrofobia	noun	B2-/X1
akryyli	noun	O1.1
akseli	noun	O2 N2 S5+
Akseli	pnoun	Z1m
aksiooma	noun	N2 X2.1
aksoni	noun	B1
Aktia	pnoun	Z3/I1
aktiivi	noun	Q3 X5.2+/S2
aktiivi	adj	X5.2+
aktiivihiili	noun	O1.1
aktiivinen	adj	X5.2+ A1.1.1 Y1 I1.1 Q3
aktiivisesti	adv	X5.2+ A1.1.1
aktiivisuus	noun	X5.2+ A1.1.1
aktivismi	noun	G1.2
aktivisti	noun	G1.2/S2
aktiviteetti	noun	A1.1.1
aktivoida	verb	T2+ X5.2+/A2.2
aktivoiminen	noun	T2+ X5.2+/A2.2
aktivointi	noun	T2+ X5.2+/A2.2
aktivoitua	verb	T2+ X5.2+/A2.1
aktivoituminen	noun	T2+ X5.2+/A2.1
aktuaari	noun	I2.1/S2 Q1.2/S2
Aku	pnoun	Z1m
akuhieronta	noun	B3
akupainanta	noun	B3
akupunktio	noun	B3
akupunktuuri	noun	B3
akustiikka	noun	X3.2
akustinen	adj	X3.2
akustisesti	adv	X3.2
akustisuus	noun	X3.2
akuutisti	adv	X5.1+ B2-
akuutti	adj	X5.1+ B2-
akvaario	noun	L2/O2 L2/H1
akvatinta	noun	C1
Al	pnoun	Z1
AL	abbrev	Z3/Q4.2
ala	noun	A4.1 N3.6
ala-arvoinen	adj	A5.1-
ala-arvoisesti	adv	A5.1-
ala-arvoisuus	noun	A5.1-
ala-aste	noun	P1
Alabama	pnoun	Z2
alabasteri	noun	O1.1
Aladdin	pnoun	Z1m
aladobi	noun	F1
al-Ahmari	pnoun	Z1
Al-Ahmari	pnoun	Z1
al-Ahmarin	pnoun	Z1
Al-Ahmarin	pnoun	Z1
alahuuli	noun	B1
Alahärmä	pnoun	Z2
Alai	pnoun	Z2
alaikäinen	adj	T3-
alaikäinen	noun	T3-/S2
alaikäisyys	noun	T3-
alainen	adj	S7.1- M6
alainen	noun	S7.1-/S2
alaisuus	noun	S7.1-
Alaivuoristo	pnoun	Z2
Alajoki	pnoun	Z2 Z1
Alajärvi	pnoun	Z2 Z1
alakerta	noun	H2 Q4.2 K5.1
alakohtainen	adj	A4.1
alakohtaisesti	adv	A4.1
alakohtaisuus	noun	A4.1
alakomitea	noun	S7.1+/S5+
alalantio	noun	B1
alaleuka	noun	B1
alaleukaluu	noun	B1
alaluomi	noun	B1
alamaailma	noun	G2.1-/S5+
Alamylläri	pnoun	Z1
alamäki	noun	W3
Alan	pnoun	Z1m
alanielu	noun	B1
alanko	noun	W3
alankomaalainen	adj	Z2
alankomaalainen	noun	Z2/S2
alankomaalais	CompPart	Z2
Alankomaat	pnoun	Z2
alaosa	noun	O2 B5
alapuolella	prep	Z5
alapuolelle	prep	Z5
alapuolelta	prep	Z5
alapuoli	noun	M6
alapuolinen	adj	M6
alapää	noun	M6 B1
alaraaja	noun	B1
alaraajahalvaus	noun	B2-
alaraja	noun	N5.1-
alas	adv	M6 T2- N5- G2.2-
Alasalmi	pnoun	Z1
Alasatakunta	pnoun	Z3/Q4.2
alasin	noun	O2
Alaska	pnoun	Z2
alaskalainen	adj	Z2
alaskalainen	noun	Z2/S2
alaskalais	CompPart	Z2
alaskankleitonia	noun	L3
Alaskavuoristo	pnoun	Z2
alaspäin	adv	M6 T2- N5-
Alastair	pnoun	Z1m
Alastaro	pnoun	Z2
alasti	adj	B5-
alastomuus	noun	B5-
alaston	adj	B5-
alaston	noun	B5-/S2
alastonkuva	noun	C1/B5-
alastonmalli	noun	C1/B5-/S2
alastontutkielma	noun	C1/B5-
alasuojus	noun	B5/K5.1
alasäiliö	noun	O2
Alatalo	pnoun	Z1
alati	adv	N6+++
Alatornio	pnoun	Z2
Ala-Tunguska	pnoun	Z2
alava	adj	O4.1
alavara	noun	B5
alavartalo	noun	B1
Alaveteli	pnoun	Z2
Alavieska	pnoun	Z2
Alavus	pnoun	Z2
alavuus	noun	O4.1
alayhdistys	noun	S5+
alba	noun	B5/S9
albaani	noun	Z2/S2
Albacete	pnoun	Z2
Alban	pnoun	Z2
Albania	pnoun	Z2
albania	noun	Z2/Q3
albanialainen	adj	Z2
albanialainen	noun	Z2/S2
albanialais	CompPart	Z2
albaniankielinen	adj	Z2/Q3
albatrossi	noun	L2
Albert	pnoun	Z1m
Albertjärvi	pnoun	Z2
Alberto	pnoun	Z1m
Albertville	pnoun	Z2
Albion	pnoun	Z3
albumi	noun	Q4.1 K2
