lemma	pos	semantic_tags
příběh	N	Q2.1 X4.1 Q4
posadit	V	M8 C1 P1 G1.1 G2.1 M6 A9+
štěstí	N	E4.1+
národ	N	G1.1c S5+c
nýbrž	J	Z5
číslo	N	N5 N1 Q1.3 K2 Q4.2
ozvat	V	Q2.1 Z4%
červen	N	T1.3
voják	N	G3/S2mf
ucho	N	B1
pomyslet	V	X2.1
dějiny	N	T1.1.1 P1/T1.1.1 Q2.1 B2
pozornost	N	X5.1+ S8+
počet	N	N5 N1 Q1.3 K2 Q4.2
zkušenost	N	X9.1+ X2.2 X3 I3.2
sazba	N	N3.8 N5 I1.3
vůz	N	M3fn
Írán	N	Z2 Z3c
pravit	V	Q2.1 Z4%
zajímat	V	X5.2+ S1.1.3+
bezpečnost	N	G2.1 A15+ E6+ I1.1
jednat	V	A1.1.1 T1.1.2 A8 K4
jídlo	N	F1
předtím	D	N4
úkol	N	A1.1.1
prázdný	A	N5--- S5--- A1.5.2- X5.2-
tiše	D	X3.2- E3+ A10- A1.1.1/N5-
strategie	N	X7+
dojem	N	X2.1 A8 A5.4-/A8 O4.2 O4.4
stín	N	O4.3 S2mf
opatření	N	N3.1 F2 K2
zatím	D	T1.1.2
samotný	A	Z8
duch	N	S9 O1.2 F2 X5.2+ E4.1+ S6+ E1 X7+
alespoň	D	N5.1- A11.1---
docela	D	A13.5 A13.6 A13.2
prostředek	N	A9+ W3
záležitost	N	X4.1 O1
zcela	D	A13.5 A13.6 A13.2
kůň	N	L2mfn
John	N	Z1m S9/O1.2
dávat	V	A9- A1.1.1
jednoduchý	A	A12+ A6.2+ O4.1 X9.1-
sektor	N	A4.1 S5+ M7 N2@
sotva	D	A13.7
Indie	N	Z2
dcera	N	S4f
ven	D	M6
kapitola	N	Q4.1 T1.3 S9/S5c S5+c
spatřit	V	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2
stěna	N	H2 O2 N5+ S8-
organizace	N	S5+c S7.1+
opakovat	V	N6+ Q2.1/N6+ F1/B1@
umět	V	A7+
policie	N	G2.1
co	D	A13
opustit	V	M1 M2 A1.1.1 A1.9 A9- T2-
veliký	A	A5.1+ A11.1+ N3.2+ N5+ X5.2+ A13.3
kámen	N	O1.1 O2 B2- N3.5 B5
hora	N	W3
květen	N	T1.3
jmenovat	V	Q2.2
dít	V	A2.1+ A3+ X7-
kultura	N	C1 S1.1.1 S5+ L1
pořádek	N	S7.1+/Q2.2 I2.2/Q2.2 A4.1 N4 G2.1+ G2.1 Q1.2/I1.1 O4.2+
Tom	N	Z1m
oheň	N	O4.6+
král	N	S7.1+/S2.2m
doktor	N	B3/I3.2/S2mf P1/S2mf
požádat	V	Q2.2
začátek	N	T2+
jednou	D	N6- T1.1.1
počkat	V	T1.3 A3+ A11.1+ S1.1.1%
vítr	N	W4 B1
takhle	D	Z5
význam	N	X2.1 A11.1+ Q3 X7+
