lemma	pos	semantic_tags
Antichrist	NOUN	S9 Z1m/E2- G2.2-
Antichrists	NOUN	Z1m/E2- S9 G2.2-
Antigua	PROPN	Z2
Antiguans	PROPN	Z2/S2mf
Antiharlesan	NOUN	Y2/O4.3
Antilles	PROPN	Z2
Antioch	PROPN	Z2
Antipodes	PROPN	Z2
Anton	PROPN	Z1m
Antonella	PROPN	Z1f
Antonia	PROPN	Z1f
Antonio	PROPN	Z1m
Antony	PROPN	Z1m
Antram	PROPN	Z2
Antrim	PROPN	Z2
Antwerp	PROPN	Z2 Z3c
Antwerpen	PROPN	Z2
Anyaoku	PROPN	Z1mf
Anzac	NOUN	G3
Aokam	PROPN	Z3c
Aorta	NOUN	B1
Aoun	PROPN	Z1mf
Apache	NOUN	Z2/S2mf Z2/Q3
Aparoma	NOUN	B2-
Aparscorosis	NOUN	B2-
Apax	PROPN	Z3c
Apennines	PROPN	Z2 M7
Aphrodite	PROPN	S9/Z1f
Apiit	PROPN	Z3c/P1
Apocalypse	NOUN	S9/Q4.1
Apollo	PROPN	Z3m
Appenzell	PROPN	Z3/F1
Apple	PROPN	Z3c
Apple1	PROPN	Z3/Y2
Apple2	PROPN	Z3/Y2
Appleby	PROPN	Z2 Z1mf
Apr.	PROPN	T1.3
April	PROPN	T1.3 Z1f Z3f
Apsley	PROPN	Z3c
Aqua	PROPN	Z3c
Aquadry	PROPN	B5/Z3c
Aquarian	ADJ	S9
Aquarian	NOUN	S9/S2mf
Aquarians	NOUN	S9/S2mf
Aquarius	PROPN	S9
Aquarius	NOUN	S9/S2mf
Aquascutum	PROPN	Z3c
Aquinas	PROPN	Z1
Aquitaine	PROPN	Z2
Arab	ADJ	Z2 Z2/Q3
Arab	NOUN	Z2/S2mf
Arab-Malaysia	PROPN	Z2
Arab-Malaysian	PROPN	Z2
Arab-Malaysian	ADJ	Z2
Arabia	PROPN	Z2
Arabian	NOUN	Z2/S2mf
Arabian	ADJ	Z2
Arabic	ADJ	Z2/Q3
Arabic	NOUN	Z2/Q3
Arabica	NOUN	F2/L2 Z3
Arabs	NOUN	Z2/S2mf
Aragon	PROPN	Z1m Z2
Arakanese	PROPN	Z2/S2mf
Aran	PROPN	Z2
Arancha	PROPN	Z1f
Arbo	PROPN	Z3c
Arboo	PROPN	Z3c
Arborio	NOUN	F1 A4.1
Arbos	PROPN	Z3c
Arbroath	PROPN	Z2 Z3c
Arcadia	PROPN	Z3c
Arcadian	PROPN	Z3c
Archbishop	NOUN	S9/S2mf
Archbishopric	NOUN	S9
Archbishops	NOUN	S9/S2mf
Archeli	PROPN	Z3c
Archer	NOUN	K5.1/S2mf
Archer	PROPN	Z1mf
Archers	PROPN	Z3c Z1mf
Archery	ADJ	Z3
Archetype	NOUN	A4.1
Archetype	PROPN	Z3c
Archibald	PROPN	Z1m
Archie	PROPN	Z1m
Archimandrite	NOUN	S9/S2m
Arctic	PROPN	Z2
Arctrex	PROPN	Z3c
Arden	PROPN	Z2
Ardennes	PROPN	Z2
